id,type,name,displayName,relToChild,connectionType,relInterfaceToConsumerApplication,dataFlowDirection,relInterfaceToDataObject,frequency,relInterfaceToProject,interfaceType,relInterfaceToITComponent,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Business Unit,tags:LX PS WiP,tags:Region,tags:Other tags
97d41074-ebfc-44d1-b883-bbc5e39b49b5,Interface,A2 to APS - LabelType,A2 to APS / A2 to APS - LabelType,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
f33c56de-99f8-48d6-8fe4-66bca5222c7d,Interface,A2 to APS - Milestone,A2 to APS / A2 to APS - Milestone,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
d806e538-7ac2-47f8-8daf-7c57aef98382,Interface,A2 to APS - MilestoneProject,A2 to APS / A2 to APS - MilestoneProject,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
5d1bc0e5-6190-4edb-b65e-9f36df6c27e8,Interface,A2 to APS - NetType,A2 to APS / A2 to APS - NetType,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
278fd2d3-38a0-4cec-bc5f-25820e17ccc9,Interface,A2 to APS - Objective,A2 to APS / A2 to APS - Objective,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
e814bfed-7466-442e-90ea-2f4f9e638347,Interface,A2 to APS - ObjectiveType,A2 to APS / A2 to APS - ObjectiveType,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
689ffdc2-dc29-4e2d-b8d8-c0da8589c47f,Interface,A2 to APS - Partner,A2 to APS / A2 to APS - Partner,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
6669e82b-2ec1-4aa7-b30d-e7f65696f1bb,Interface,A2 to APS - Program Orders,A2 to APS / A2 to APS - Program Orders,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
693f9475-7a6b-47d6-ac8f-9234251dd4c4,Interface,A2 to APS - ProgramMilestone,A2 to APS / A2 to APS - ProgramMilestone,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
4d1a4447-1ec2-488a-a112-cfc27c3788c1,Interface,A2 to APS - Project,A2 to APS / A2 to APS - Project,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
cb0ea1b6-20c3-46ed-8936-d8580467ba61,Interface,A2 to APS - ProjectObjective,A2 to APS / A2 to APS - ProjectObjective,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
1534a65c-dfa4-44a9-9b45-7be1e3602648,Interface,A2 to APS - RandomizationList,A2 to APS / A2 to APS - RandomizationList,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
4c3dbb38-e2e4-4a24-864b-9977c98c329a,Interface,A2 to APS - Study,A2 to APS / A2 to APS - Study,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
e45c966b-595e-459d-88df-b4933c6fa806,Interface,A2 to APS - StudyPhases,A2 to APS / A2 to APS - StudyPhases,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
abdcc791-eb43-4e66-811a-dee949c33d5b,Interface,A2 to APS - StudyStage,A2 to APS / A2 to APS - StudyStage,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
ee363d68-7c2c-4597-a787-06aa1251a263,Interface,A2 to APS - StudyStatus,A2 to APS / A2 to APS - StudyStatus,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
5af89927-6120-40b4-b9fb-e3b9fc4d998c,Interface,A2 to APS - StudyType,A2 to APS / A2 to APS - StudyType,,,Kinaxis Maestro Advanced Planning System (APS),outgoing,,,,,,,,,,IOPS,,,,
abe443bb-4e4b-4fb1-a1b2-390843e61df4,Interface,Accenture StartingPoint to Veeva RIM Registration - Risk Management Template,Accenture StartingPoint to Veeva RIM Registration - Risk Management Template,,,Veeva - RIM Registrations,outgoing,Risk Management Template,,,,,,,,,,,,,
6086f5e6-b267-4905-8106-585c3a0706b5,Interface,Achievers to Oracle,Achievers to Oracle,,,Oracle eBusiness Suite [Platform],incoming,Employee;Payroll,,,,Oracle Concurrent Program;Vendor SFTP,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
335f8ab8-cbd0-4c9a-ba9c-b07512d3ac5a,Interface,Active Directory (External App) to Data Warehouse,Active Directory (External App) to Data Warehouse,,,NEMO DGT,outgoing,Employee;Non-Employee,monthly,,batch,File;Microsoft Access;Oracle Database,,,,,G&A IT - Human Resources,,,,G&A IT
5ae8a582-26d6-445d-ad1d-2894e5913391,Interface,Active Directory (External App) to Oracle Core HR,Active Directory (External App) to Oracle Core HR,,,Oracle eBusiness Suite [Platform],incoming,Employee;Non-Employee,hourly,,batch,File;Oracle Concurrent Program,,,,,G&A IT - Human Resources,,,,G&A IT
bf7251d8-7320-47e5-b07c-c500f82d70b1,Interface,Adobe -  Workday to Adobe,Adobe -  Workday to Adobe,,,,,,,,,,,,,,,,,,
2662235e-74ed-48e2-824d-45339eba85bc,Interface,ALR to Milvus Vector DB - Publications,ALR to Milvus Vector DB - Publications,,automatic,,biDirectional,Publications,onDemand,,asynchronous,,,,,,,,,,
736e0eca-0fe2-4e74-9924-76b0cdec2f63,Interface,AON to CorePay,AON to CorePay,,,CorePay,,Payroll,,,,Amazon.com / AWS Transfer for SFTP;PGP,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
3951b231-70ad-4790-abed-ff594004513c,Interface,Approved Supplier Data to Oracle,Approved Supplier Data to Oracle,,,Oracle eBusiness Suite [Platform],incoming,Supplier,,,,,,,,,,,,,
c7ab823c-dfb8-4e06-a307-d2a573c0a401,Interface,APS to mYSupply,APS to mYSupply,APS to mYSupply / APS to mYSupply - Horizontal Plan;APS to mYSupply / APS to mYSupply - Item Attributes,,,,,,,,,,,,,,,,,
f551b121-2fcd-44ea-8b3e-3f102093d401,Interface,APS to mYSupply - Horizontal Plan,APS to mYSupply / APS to mYSupply - Horizontal Plan,,,mYSupply,outgoing,,daily,IOPS - GLO APS P2: Demand/Constrained Supply Plan & SIOP,,,,,,,IOPS,,,,
5a3dc50e-0ab3-47ca-a500-845a1b1e215c,Interface,APS to mYSupply - Item Attributes,APS to mYSupply / APS to mYSupply - Item Attributes,,,mYSupply,outgoing,,daily,IOPS - GLO APS P2: Demand/Constrained Supply Plan & SIOP,,,,,,,IOPS,,,,
6df2e673-57a9-4979-aa68-7eec9014c2f9,Interface,Argus to Axway - Case Data,Argus to Axway - Case Data,,,Axway,biDirectional,AE/SAE Case Data,,,,,,,,,,,,,
8a5f3d53-666c-47b1-929f-31ab6bcc7d3e,Interface,Argus to MDM - Product,Argus to MDM - Product,,,Master Data Management (MDM),outgoing,Product,daily,,asynchronous,,,,,,,,,,
c38238bb-f345-4d8a-8307-097aeb8bc8de,Interface,Argus to Veeva Site Connect - CIOMS,Argus to Veeva Site Connect - CIOMS,,manual,Site Connect,outgoing,CIOMS,realtime,,asynchronous,,,,,,,,,,
8a3614a5-ef7e-4b06-a8ad-19ccace5d4c1,Interface,"ASIST to ODR - Supplies Tracking, Protocol, Country, Investigator, Site Number","ASIST to ODR - Supplies Tracking, Protocol, Country, Investigator, Site Number",,,Clinical Operational Repository (ODR),outgoing,Clinical Supplies Tracking;Country;Investigator;Site / Site Number;Study / Protocol,,,,,,,,,,,,,
d1bc9abf-d4af-4a5d-9fbf-e4748cfa9388,Interface,ASIST to Sharepoint - CTMS and ESR Studies,ASIST to Sharepoint - CTMS and ESR Studies,,,Sharepoint,outgoing,CTMS Studies;ESR Studies,daily,,asynchronous,TE Excursion Bot,,,,,,,,,
3574a4cc-cea1-447c-aefb-088f3f77f6d2,Interface,Axtria (External App) to Oracle,Axtria (External App) to Oracle,,,Oracle eBusiness Suite [Platform],,Payroll,,,,,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
da011e1e-57b0-4fb2-9d31-b68d22b9b312,Interface,Axway to Converge Health SRP - Case Data,Axway to Converge Health SRP - Case Data,,,ConvergeHealth SRP,outgoing,AE/SAE Case Data,,,,,,,,,,,,,
691759e2-fb8f-407c-80d2-cdfbbd69dbcd,Interface,"Axway to IQVIA - CRF, Lab, Biomarker Data","Axway to IQVIA - CRF, Lab, Biomarker Data",,,,biDirectional,EDC / CRF Data;Non CRF Data / Biomarker Data;Non CRF Data / Lab Data,,,,,,,,,,,,,
73cd4ce9-f901-4f0e-a229-b334d2113a52,Interface,Axway to Isilon - SAS Datasets,Axway to Isilon - SAS Datasets,,,Isilon,outgoing,SAS Datasets,,,,,,,,,,,,,
748f82b4-b9ff-4a3b-824f-865a0630b9c5,Interface,Axway to Looking Glass - Medical Information,Axway to Looking Glass - Medical Information,,,Looking Glass,outgoing,Medical Information,,,,,,,,,,,,,
0fbcaead-a6cf-4c60-9dcf-5656f2d7b3b2,Interface,"Axway to Operational DataLake - Operational EDC, non-CRF Data","Axway to Operational DataLake - Operational EDC, non-CRF Data",,,Operational Data Lake,outgoing,EDC;Non CRF Data,,,,,,,,,,,,,
2cd7285b-5d97-48f5-a308-19ec6cacbbc3,Interface,Beamery Career Site to External Job Boards,Beamery Career Site to External Job Boards,,,External Application,,Job Posting or Job Requisition,,Career Site Replacement,,,,,,,G&A IT - Human Resources,,,,G&A IT
304c43a4-a251-43ad-aa17-1de31b450fe6,Interface,Beamery Career Site to LinkedIn Recruiter,Beamery Career Site to LinkedIn Recruiter,,,LinkedIn Recruiter,outgoing,Job Posting or Job Requisition,onDemand,Career Site Replacement,asynchronous,,,,,,G&A IT - Human Resources,,,,G&A IT
1743eb03-2be8-4313-b3f8-af2ef2f49cbf,Interface,Beeline to Changepoint - User Data,Beeline to Changepoint - User Data,,automatic,Planview Changepoint,outgoing,Users,daily,,batch,,,,,,,,,,
a2c2a858-c7fc-485f-a8a3-73d30611d435,Interface,Beeline to Global Development - Non-employee Roster,Beeline to Global Development - Non-employee Roster,,,External Application,outgoing,Non-Employee,,,batch,Amazon.com / AWS Transfer for SFTP;Beeline RaaS,,,,,G&A IT - Human Resources,,,,G&A IT
42ee89fc-0388-4410-bde5-04492ed0126a,Interface,Beeline to Global Development - Non-employee Roster form Ceredian,Beeline to Global Development - Non-employee Roster form Ceredian,,,External Application,outgoing,Non-Employee,,,batch,Amazon.com / AWS Transfer for SFTP;Beeline RaaS,,,,,G&A IT - Human Resources,,,,G&A IT
a2c2d51e-b501-4c3b-a9e2-56eb27ba992c,Interface,Beeline to Insights RM - Actual Hours,Beeline to Insights RM - Actual Hours,,,Insights RM,outgoing,Actual Hours,,,,,,,,,,,,,
9682b262-58af-4c0e-a0e7-fcd3d42fad7a,Interface,Beeline to Oracle EBS (Automated),Beeline to Oracle EBS (Automated),,,Oracle eBusiness Suite [Platform],outgoing,Non-Employee,onDemand,,batch,Oracle Concurrent Program,,,,,G&A IT - Human Resources,,,,G&A IT
61eb80a9-b620-495b-9890-548e0f2c94b4,Interface,Beeline to Oracle EBS (WebADI),Beeline to Oracle EBS (WebADI),,,Oracle eBusiness Suite [Platform],outgoing,Non-Employee,onDemand,,batch,Microsoft Office Excel Standard 2016;Oracle WebADI,,,,,G&A IT - Human Resources,,,,G&A IT
602afa6a-ef8e-4c5b-885e-56d511e9ec6b,Interface,Beeline to Research IT - Non-employee Roster,Beeline to Research IT - Non-employee Roster,,,External Application,outgoing,Non-Employee,,,batch,Amazon.com / AWS Transfer for SFTP;Beeline RaaS,,,,,G&A IT - Human Resources,,,,G&A IT
99056cbb-1eeb-43b0-bb93-b1adfc79bdb8,Interface,Bioregistry (RDL) to MDM - Study,Bioregistry (RDL) to MDM - Study,,,Master Data Management (MDM),outgoing,Product,daily,,asynchronous,,,,,,,,,,
d055cf80-7be1-494d-9a26-d1ebda7e53f9,Interface,Boomi to Icertis User Profile Feed,Boomi to Icertis User Profile Feed,,,Icertis,,,,* IOPS - Quality Systems Veeva Program / IOPS - GLO QMS/QDocs Veeva P2,,,,,,,,,,,
b6a512e5-a047-4807-b233-2267e5391af9,Interface,BrassRing to Qlik (External App),BrassRing to Qlik (External App),,,Qlik (Qlikview & QlikSense),outgoing,Candidate,,,batch,Oracle Database;Oracle JDBC Driver 21c.x,,,,,G&A IT - Human Resources,,,,G&A IT
e739420e-7f10-46c9-9ce8-8f5474bfb646,Interface,Bus Ops SharePoint to Data Lake (Phase 2) - Protocol Deviation Files,Bus Ops SharePoint to Data Lake (Phase 2) - Protocol Deviation Files,,,Operational Data Lake,outgoing,Study / Protocol Deviation Files,daily,,asynchronous,Bus Ops SharePoint (Protocol Deviation) to Data Lake Phase 2 Bot,,,,,,,,,
331b2afb-4bfc-4339-8d86-ec80fdb572a9,Interface,Bus Ops SharePoint to Data Lake Phase 1 - Study Budget and eCOA master file,Bus Ops SharePoint to Data Lake Phase 1 - Study Budget and eCOA master file,,,Operational Data Lake,outgoing,eCOA/ePRO Data / eCOA Master File;Study / Study Budget (Bot),daily,,asynchronous,Bus Ops SharePoint (Study Budget) to Data Lake Phase 1 Bot,,,,,,,,,
5aa2a2ba-4739-4672-871d-ea2278dd5be0,Interface,BusinessSolver to Aetna,BusinessSolver to Aetna,,,Aetna,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
af26a275-c4b5-4953-bd52-48aea5cb2f5f,Interface,BusinessSolver to Broadspire,BusinessSolver to Broadspire,,,Broadspire,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
d9a6126c-5a90-4808-b478-4c101b2a3d95,Interface,BusinessSolver to CDPHP,BusinessSolver to CDPHP,,,CDPHP,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
2212bd90-e2fb-4e4f-be11-495b52c29575,Interface,BusinessSolver to Cigna,BusinessSolver to Cigna,,,Cigna,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
3a2eef75-5f64-4f91-ae34-fb8ba1fca7d1,Interface,BusinessSolver to Delta Dental,BusinessSolver to Delta Dental,,,Delta Dental,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
4f8d88ba-e6fe-4de4-ae5f-38933800e968,Interface,BusinessSolver to Hartford,BusinessSolver to Hartford,,,Hartford,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
6780c40c-e0d4-4cd6-9895-22c2a52292f7,Interface,BusinessSolver to Hyatt Legal,BusinessSolver to Hyatt Legal,,,MetLife Legal Plans,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
ef8b646a-c7f4-4547-92ec-094b47cc60c1,Interface,BusinessSolver to Norton Lifelock,BusinessSolver to Norton Lifelock,,,LifeLock,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
3150403a-9047-416a-a91c-ee42022bf1c9,Interface,BusinessSolver to OptumRX,BusinessSolver to OptumRX,,,OptumRX,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
02b52f40-5337-4a99-bac3-74999e80d37e,Interface,Businesssolver to Oracle Payroll,Businesssolver to Oracle Payroll,,,Oracle eBusiness Suite [Platform],incoming,Benefits,,,,,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
13321c62-4a7b-46d8-9ce0-51fc6df978bd,Interface,BusinessSolver to VSP,BusinessSolver to VSP,,,VSP Vision,,,,,,SSH;Vendor SFTP,,,,,G&A IT - Human Resources,,,,G&A IT
4c2af548-0760-4bac-b1d5-52f64032dfd8,Interface,Businesssolver to WageWorks,Businesssolver to WageWorks,,,WageWorks,,,,,,,,,,,G&A IT - Human Resources,,,,G&A IT
7ed0705f-1f06-4e5e-8afe-b4812b341995,Interface,Calyx IRT to ODL - Oncology Data,Calyx IRT to ODL - Oncology Data,,,Operational Data Lake,outgoing,Oncology Data,daily,,batch,,,,,,,,,,
9ec7849f-c115-4737-883a-e08b626ecc1d,Interface,"Calyx IRT to ODR - Screening, Randomization Data","Calyx IRT to ODR - Screening, Randomization Data",,,Clinical Operational Repository (ODR),outgoing,Randomization;Screening,,,,,,,,,,,,,
2d33a369-534c-4332-9569-7541c7c85c70,Interface,Calyx to Veeva eTMF - EDC Patient,Calyx to Veeva eTMF - EDC Patient,,,Veeva - eTMF (Track),outgoing,Study / Subject Data,,,,,,,,,,,,,
9180bb28-e544-4c57-bcc6-b93f1108eab1,Interface,Candidates_Qlik_INT,Candidates_Qlik_INT,,,Qlik (Qlikview & QlikSense),outgoing,Candidate;Compensation;Organizations;Recruiter;Requisition,,,batch,Workday RaaS,,,,,G&A IT - Human Resources,,,,G&A IT
a02d9927-66f0-4fdb-bd8e-9d9ad4ea63e5,Interface,CCure (External App) to Data Warehouse,CCure (External App) to Data Warehouse,,,NEMO DGT,,Employee;Non-Employee,,,,File;Microsoft Access;Oracle Database,,,,,G&A IT - Human Resources,,,,G&A IT
866c7cd1-5301-4a3b-81b5-1b41f91e4097,Interface,Central Lab to Operational Data Lake (ODL) - Lab Data,Central Lab to Operational Data Lake (ODL) - Lab Data,,automatic,Operational Data Lake,outgoing,Non CRF Data / Lab Data,daily,,batch,Central Labs,,,,,,,,,
257a18f6-5827-4a12-9e3e-4b190fcab765,Interface,"Citeline to MDM - Investigator, Institution","Citeline to MDM - Investigator, Institution",,,Master Data Management (MDM),outgoing,Institution;Investigator,daily,,asynchronous,,,,,,,,,,
bb0e7c81-11c1-4329-a899-dc05d1222170,Interface,Clinical EDC to PVIT - Case Data,Clinical EDC to PVIT - Case Data,,,RxLogix - PVIT,outgoing,AE/SAE Case Data,,,,,,,,,,,,,
4c7dd134-ac95-45d0-ad7a-30e62a447598,Interface,Clinical Trial Tracker to Regulatory SP -,Clinical Trial Tracker to Regulatory SP -,,,Regulatory Sequence Analysis Tool (SP),outgoing,,,,,,,,,,,,,,
8ca1d1b3-3003-420c-9794-3075b18b6e2e,Interface,CMS to Databricks,CMS to Databricks,,,Databricks,outgoing,,onDemand,,asynchronous,,,,,,,,,,
7d191ade-5720-4d60-8bde-849f6d283e70,Interface,Compass to Insights RM - Resource Milestones,Compass to Insights RM - Resource Milestones,,,Insights RM,outgoing,Resource Milestones,,,,,,,,,,,,,
15a4a35c-57da-4856-9dfa-b5052e0e87e0,Interface,"Compass to MDM - Study, Product","Compass to MDM - Study, Product",,,Master Data Management (MDM),outgoing,Product;Study,daily,,asynchronous,,,,,,,,,,
922a038a-9cb6-4722-8b55-0c854d56433d,Interface,Compass to ODL - Study Milestones,Compass to ODL - Study Milestones,,,Operational Data Lake,outgoing,Study / Study Milestones,hourly,,batch,,,,,,,,,,
de1e1964-5701-4e42-b0c8-3e6caa22260a,Interface,"Compass to ODR - Study Milestones, Study Data","Compass to ODR - Study Milestones, Study Data",,,Clinical Operational Repository (ODR),,Study;Study / Study Milestones,,,,,,,,,,,,,
54039636-ed7d-4149-a50b-406a17fa79df,Interface,Compass to Qlik,Compass to Qlik,,,Qlik (Qlikview & QlikSense),outgoing,Study;Study / Study Milestones;Study / Study Timelines,,,,,,,,,,,,,
fd5a849f-0aea-48b2-8537-609d5677d40c,Interface,Compass to Veeva CTMS - Study,Compass to Veeva CTMS - Study,,,Veeva - CTMS,outgoing,Study,,,,,,,,,,,,,
6caa6f55-a860-46ba-8b4c-eb5e58505fc0,Interface,ConcertAI to Databricks,ConcertAI to Databricks,,,Databricks,outgoing,,onDemand,,asynchronous,,,,,,,,,,
a4bf0486-7600-40f7-85a0-49a2d37c858e,Interface,Concur to Medpro,Concur to Medpro,,,MedPro,,Employee;Expenses,,,,File;Oracle Concurrent Program;Oracle Data Integrator Enterprise 12cR2 12.2.1;PGP;SSH;Vendor SFTP,,,,,G&A IT - Financial Services,,,,G&A IT
5e9276b4-de94-4123-abea-d427d12d81ed,Interface,Concur to Oracle General Ledger - Expense Report,Concur to Oracle General Ledger - Expense Report,,,Oracle eBusiness Suite [Platform],outgoing,Employee;Expenses;GL,weekly,,,Concur Hosting;File;Oracle Concurrent Program;PGP;SSH;Vendor SFTP,,,,,G&A IT - Financial Services,,,,G&A IT
a94894b3-5ded-46f2-b212-be849c516cb5,Interface,Concur to Oracle General Ledger - PCard,Concur to Oracle General Ledger - PCard,,,Oracle eBusiness Suite [Platform],incoming,Employee;Expenses;GL;Non-Employee,weekly,,,Concur Hosting;File;Oracle Concurrent Program;PGP;SSH;Vendor SFTP,,,,,G&A IT - Financial Services,,,,G&A IT
580ae168-03ca-41bf-84b9-0c1d62c88bad,Interface,Concur to Oracle Payroll,Concur to Oracle Payroll,,,Oracle eBusiness Suite [Platform],incoming,Expenses,,,,,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
2f738cd5-6a93-4b2c-bb69-74830c5b6731,Interface,Concur to Payroll - Expense Report Data,Concur to Payroll - Expense Report Data,,,Oracle eBusiness Suite [Platform],incoming,Employee;Expenses;GL,,,,Concur Hosting;File;Oracle Concurrent Program;PGP;SSH;Vendor SFTP,,,,,G&A IT - Financial Services,,,,G&A IT
4aacc3d1-53c8-49a1-b61c-c85544f54baa,Interface,Core Country Committee to ODL - Country Data,Core Country Committee to ODL - Country Data,,,Operational Data Lake,outgoing,Country,monthly,,batch,,,,,,,,,,
cf22e69d-6353-4ead-9f20-350a9ba65901,Interface,CorePay to Bank of Ireland,CorePay to Bank of Ireland,,,Bank of Ireland,,Payroll,,,,,,,,,"G&A IT - Payroll, Time & Labor",,,,G&A IT
63c380ed-5dca-4437-9a1e-f6d52eb0c5af,Interface,Corepay to Oracle General Ledger,Corepay to Oracle General Ledger,,,Oracle eBusiness Suite [Platform],incoming,Employee;GL,,,,Amazon.com / AWS Transfer for SFTP;Corepay Hosting;File;Oracle Concurrent Program;PGP,,,,,G&A IT - Financial Services,,,,G&A IT
a40729c5-2043-4571-a8e8-a8ba5b68f847,Interface,CorePay to Revenue (External App),CorePay to Revenue (External App),,,External Application,,,,,,,,,,,,,,,G&A IT
9da01090-dec7-47cc-b5c2-c807bfd9ec34,Interface,Costar to Oracle General Ledger,Costar to Oracle General Ledger,,,Oracle eBusiness Suite [Platform],incoming,GL,onDemand,,,Concur Hosting;File;Oracle Concurrent Program;SSH;Vendor SFTP,,,,,G&A IT - Financial Services,,,,G&A IT
