Business Capability in LeanIX,Hierarchy,Mapped  Level 1 Capability,mapped to Lifesciences Capabilities Level 3
Regulations Collaborations,Collaborations & Touchpoints / Regulations Collaborations,Enterprise Strategy,Enterprise Strategy / Corporate Governance
Transactional Collaborations,Collaborations & Touchpoints / Transactional Collaborations,Enterprise Strategy,Enterprise Strategy / Business Process Management
Compensation Management,Compensation Management,Human Resources,Human Resources / Compensation Management
Bonus and Incentive Management,Compensation Management / Bonus and Incentive Management,Human Resources,Human Resources / Compensation Management / Incentive Plans
Equity Compensation,Compensation Management / Equity Compensation,Human Resources,Human Resources / Compensation Management / Equity Plans
Executive Compensation,Compensation Management / Executive Compensation,Human Resources,Human Resources / Compensation Management / Executive Pay
Salary and Wage Administration,Compensation Management / Salary and Wage Administration,Human Resources,Human Resources / Compensation Management / Salary Administration
Total Rewards Strategy,Compensation Management / Total Rewards Strategy,Human Resources,Human Resources / Compensation Management / Total Rewards
Consolidations and External Reporting,Consolidations and External Reporting,Finance,Finance / Accounting and Financial Close / Financial Consolidation
Financial Statement Consolidation,Consolidations and External Reporting / Financial Statement Consolidation,Finance,Finance / Accounting and Financial Close / Financial Consolidation
Regulatory Reporting,Consolidations and External Reporting / Regulatory Reporting,Finance,Finance / Accounting and Financial Close / Regulatory Reporting
Segment Reporting,Consolidations and External Reporting / Segment Reporting,Finance,Finance / Accounting and Financial Close / Financial Reporting
Statutory Reporting,Consolidations and External Reporting / Statutory Reporting,Finance,Finance / Accounting and Financial Close / Statutory Reporting
Core HR,Core HR,Human Resources,Human Resources / Core HR
Employee Data Management,Core HR / Employee Data Management,Human Resources,Human Resources / Core HR / HR Master Data Management
Employee Relations,Core HR / Employee Relations,Human Resources,Human Resources / Core HR / Employee Relations
Global Mobility,Core HR / Global Mobility,Human Resources,Human Resources / Core HR / Global Mobility
Organizational Structure Management,Core HR / Organizational Structure Management,Human Resources,Human Resources / Core HR / Organizational Management
Database,Database,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Develop the business resilience strategy,Develop the business resilience strategy,Enterprise Strategy,Enterprise Strategy / Business Continuity Management
Enable Business Transactions,Enable Business Transactions,Enterprise Strategy,Enterprise Strategy / Business Process Management
eSignature,eSignature,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Financial Planning & Analytics,Financial Planning & Analytics,Finance,Finance / Financial Planning and Analysis
Budgeting and Forecasting,Financial Planning & Analytics / Budgeting and Forecasting,Finance,Finance / Financial Planning and Analysis / Financial Budgeting
Cost Center Planning,Financial Planning & Analytics / Cost Center Planning,Finance,Finance / Financial Planning and Analysis / Cost Center Accounting
Financial Analysis,Financial Planning & Analytics / Financial Analysis,Finance,Finance / Financial Planning and Analysis / Financial Analysis
Long Range Planning,Financial Planning & Analytics / Long Range Planning,Finance,Finance / Financial Planning and Analysis / Financial Planning
Profitability Analysis,Financial Planning & Analytics / Profitability Analysis,Finance,Finance / Financial Planning and Analysis / Profitability Analysis
Working Capital Analysis,Financial Planning & Analytics / Working Capital Analysis,Finance,Finance / Financial Planning and Analysis / Working Capital Management
Foundational Capabilities,Foundational Capabilities,Enterprise Strategy,Enterprise Strategy / Business Process Management
Business Process Management,Foundational Capabilities / Business Process Management,Enterprise Strategy,Enterprise Strategy / Business Process Management
Document Management,Foundational Capabilities / Document Management,Enterprise Strategy,Enterprise Strategy / Information Management
Enterprise Content Management,Foundational Capabilities / Enterprise Content Management,Enterprise Strategy,Enterprise Strategy / Information Management
Master Data Management,Foundational Capabilities / Master Data Management,Enterprise Strategy,Enterprise Strategy / Information Management
Technology Enablement,Foundational Capabilities / Technology Enablement,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Workflow Management,Foundational Capabilities / Workflow Management,Enterprise Strategy,Enterprise Strategy / Business Process Management
Headcount Planning,Headcount Planning,Human Resources,Human Resources / Workforce Planning and Analytics
Hosting,Hosting,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
HR Operations Management,HR Operations Management,Human Resources,Human Resources / Core HR
HR Case Management,HR Operations Management / HR Case Management,Human Resources,Human Resources / Core HR / HR Service Delivery
HR Compliance,HR Operations Management / HR Compliance,Human Resources,Human Resources / Core HR / HR Compliance
HR Document Management,HR Operations Management / HR Document Management,Human Resources,Human Resources / Core HR / HR Information Management
HR Policies and Procedures,HR Operations Management / HR Policies and Procedures,Human Resources,Human Resources / Core HR / HR Policies
Indirect Procurement,Indirect Procurement,Sourcing and Procurement,Sourcing and Procurement / Operational Procurement
Integration,Integration,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Internal Audit,Internal Audit,"Governance, Risk and Compliance","Governance, Risk and Compliance / Audit Management"
Audit Planning and Execution,Internal Audit / Audit Planning and Execution,"Governance, Risk and Compliance","Governance, Risk and Compliance / Audit Management / Audit Planning"
Internal Controls Testing,Internal Audit / Internal Controls Testing,"Governance, Risk and Compliance","Governance, Risk and Compliance / Audit Management / Controls Testing"
Risk Assessment,Internal Audit / Risk Assessment,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Risk Assessment"
IOPS Enterprise Support,IOPS Enterprise Support,Manufacturing,Manufacturing / Manufacturing IT
Application Support,IOPS Enterprise Support / Application Support,Manufacturing,Manufacturing / Manufacturing IT
Enterprise Reporting,IOPS Enterprise Support / Enterprise Reporting,Manufacturing,Manufacturing / Manufacturing IT
Help Desk,IOPS Enterprise Support / Help Desk,Manufacturing,Manufacturing / Manufacturing IT
Infrastructure Management,IOPS Enterprise Support / Infrastructure Management,Manufacturing,Manufacturing / Manufacturing IT
IT Operations Management,IOPS Enterprise Support / IT Operations Management,Manufacturing,Manufacturing / Manufacturing IT
IOPS Plant Management,IOPS Plant Management,Manufacturing,Manufacturing / Plant Operations
Batch Management,IOPS Plant Management / Batch Management,Manufacturing,Manufacturing / Plant Operations / Batch Processing
Facilities Management,IOPS Plant Management / Facilities Management,Manufacturing,Manufacturing / Plant Operations / Plant Maintenance
Maintenance Management,IOPS Plant Management / Maintenance Management,Manufacturing,Manufacturing / Plant Operations / Plant Maintenance
Plant Operations,IOPS Plant Management / Plant Operations,Manufacturing,Manufacturing / Plant Operations
Production Planning,IOPS Plant Management / Production Planning,Manufacturing,Manufacturing / Production Planning and Execution
Resource Scheduling,IOPS Plant Management / Resource Scheduling,Manufacturing,Manufacturing / Production Planning and Execution
IOPS Product Development,IOPS Product Development,Manufacturing,Manufacturing / Product Development
Change Control,IOPS Product Development / Change Control,Manufacturing,Manufacturing / Product Development / Change Management
Design Control,IOPS Product Development / Design Control,Manufacturing,Manufacturing / Product Development / Design Management
Document Control,IOPS Product Development / Document Control,Manufacturing,Manufacturing / Product Development / Document Management
Formula Management,IOPS Product Development / Formula Management,Manufacturing,Manufacturing / Product Development / Formula Management
Packaging Development,IOPS Product Development / Packaging Development,Manufacturing,Manufacturing / Product Development / Packaging Development
Process Development,IOPS Product Development / Process Development,Manufacturing,Manufacturing / Product Development / Process Development
Product Specification Management,IOPS Product Development / Product Specification Management,Manufacturing,Manufacturing / Product Development / Specification Management
Technology Transfer,IOPS Product Development / Technology Transfer,Manufacturing,Manufacturing / Product Development / Technology Transfer
IOPS Product Manufacturing,IOPS Product Manufacturing,Manufacturing,Manufacturing / Production Planning and Execution
Dispensing,IOPS Product Manufacturing / Dispensing,Manufacturing,Manufacturing / Production Planning and Execution
Formulation,IOPS Product Manufacturing / Formulation,Manufacturing,Manufacturing / Production Planning and Execution
Packaging,IOPS Product Manufacturing / Packaging,Manufacturing,Manufacturing / Production Planning and Execution
Primary Manufacturing,IOPS Product Manufacturing / Primary Manufacturing,Manufacturing,Manufacturing / Production Planning and Execution
Secondary Manufacturing,IOPS Product Manufacturing / Secondary Manufacturing,Manufacturing,Manufacturing / Production Planning and Execution
IOPS Quality Assurance,IOPS Quality Assurance,Manufacturing,Manufacturing / Quality Management
Analytical Method Validation,IOPS Quality Assurance / Analytical Method Validation,Manufacturing,Manufacturing / Quality Management / Method Validation
Calibration Management,IOPS Quality Assurance / Calibration Management,Manufacturing,Manufacturing / Quality Management / Calibration Management
Cleaning Validation,IOPS Quality Assurance / Cleaning Validation,Manufacturing,Manufacturing / Quality Management / Validation Management
Computer System Validation,IOPS Quality Assurance / Computer System Validation,Manufacturing,Manufacturing / Quality Management / Validation Management
Equipment Qualification,IOPS Quality Assurance / Equipment Qualification,Manufacturing,Manufacturing / Quality Management / Qualification Management
Facility Validation,IOPS Quality Assurance / Facility Validation,Manufacturing,Manufacturing / Quality Management / Validation Management
Process Validation,IOPS Quality Assurance / Process Validation,Manufacturing,Manufacturing / Quality Management / Validation Management
Quality Risk Management,IOPS Quality Assurance / Quality Risk Management,Manufacturing,Manufacturing / Quality Management / Quality Risk Management
Validation Documentation,IOPS Quality Assurance / Validation Documentation,Manufacturing,Manufacturing / Quality Management / Validation Management
IOPS Quality Control,IOPS Quality Control,Manufacturing,Manufacturing / Quality Management
Analytical Testing,IOPS Quality Control / Analytical Testing,Manufacturing,Manufacturing / Quality Management / Testing Management
Environmental Monitoring,IOPS Quality Control / Environmental Monitoring,Manufacturing,Manufacturing / Quality Management / Testing Management
In-Process Testing,IOPS Quality Control / In-Process Testing,Manufacturing,Manufacturing / Quality Management / Testing Management
Laboratory Information Management,IOPS Quality Control / Laboratory Information Management,Manufacturing,Manufacturing / Quality Management / Laboratory Management
Microbiological Testing,IOPS Quality Control / Microbiological Testing,Manufacturing,Manufacturing / Quality Management / Testing Management
Raw Material Testing,IOPS Quality Control / Raw Material Testing,Manufacturing,Manufacturing / Quality Management / Testing Management
Sample Management,IOPS Quality Control / Sample Management,Manufacturing,Manufacturing / Quality Management / Sample Management
Stability Testing,IOPS Quality Control / Stability Testing,Manufacturing,Manufacturing / Quality Management / Testing Management
IOPS Supply Chain Management,IOPS Supply Chain Management,Manufacturing,Manufacturing / Production Planning and Execution
Distribution Management,IOPS Supply Chain Management / Distribution Management,Manufacturing,Manufacturing / Production Planning and Execution
Inventory Management,IOPS Supply Chain Management / Inventory Management,Manufacturing,Manufacturing / Inventory and Warehouse Management
Manufacturing Planning,IOPS Supply Chain Management / Manufacturing Planning,Manufacturing,Manufacturing / Production Planning and Execution
Material Requirements Planning,IOPS Supply Chain Management / Material Requirements Planning,Manufacturing,Manufacturing / Production Planning and Execution
Production Scheduling,IOPS Supply Chain Management / Production Scheduling,Manufacturing,Manufacturing / Production Planning and Execution
Warehouse Management,IOPS Supply Chain Management / Warehouse Management,Manufacturing,Manufacturing / Inventory and Warehouse Management
IT Enterprise Architecture,IT Enterprise Architecture,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Application Architecture,IT Enterprise Architecture / Application Architecture,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Data Architecture,IT Enterprise Architecture / Data Architecture,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Infrastructure Architecture,IT Enterprise Architecture / Infrastructure Architecture,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Integration Architecture,IT Enterprise Architecture / Integration Architecture,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Legal Research,Legal Research,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Legal Technology Support,Legal Technology Support,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Contract Lifecycle Management,Legal Technology Support / Contract Lifecycle Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Contract Management"
eDiscovery,Legal Technology Support / eDiscovery,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / eDiscovery"
Legal Document Management,Legal Technology Support / Legal Document Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Document Management"
Legal Knowledge Management,Legal Technology Support / Legal Knowledge Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Knowledge Management"
Legal Matter Management,Legal Technology Support / Legal Matter Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Matter Management"
Maintain and Enhance Ethics & Compliance,Maintain and Enhance Ethics & Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance"
Code of Conduct Management,Maintain and Enhance Ethics & Compliance / Code of Conduct Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Ethics Management"
Compliance Monitoring,Maintain and Enhance Ethics & Compliance / Compliance Monitoring,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Compliance Management"
Compliance Training,Maintain and Enhance Ethics & Compliance / Compliance Training,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Compliance Management"
Ethics Hotline Management,Maintain and Enhance Ethics & Compliance / Ethics Hotline Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Ethics Management"
Policy Management,Maintain and Enhance Ethics & Compliance / Policy Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Policy Management"
Manage Corporate Governance & Services,Manage Corporate Governance & Services,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance"
Board Management,Manage Corporate Governance & Services / Board Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance / Board Management"
Corporate Entity Management,Manage Corporate Governance & Services / Corporate Entity Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance / Entity Management"
Corporate Secretary,Manage Corporate Governance & Services / Corporate Secretary,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance / Board Management"
Investor Relations,Manage Corporate Governance & Services / Investor Relations,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance / Investor Relations"
Shareholder Services,Manage Corporate Governance & Services / Shareholder Services,"Governance, Risk and Compliance","Governance, Risk and Compliance / Corporate Governance / Investor Relations"
Manage Corporate Security,Manage Corporate Security,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security"
Access Control,Manage Corporate Security / Access Control,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security / Access Management"
Crisis Management,Manage Corporate Security / Crisis Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Crisis Management"
Information Security,Manage Corporate Security / Information Security,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security"
Physical Security,Manage Corporate Security / Physical Security,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security / Physical Security"
Security Operations,Manage Corporate Security / Security Operations,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security / Security Operations"
Threat Intelligence,Manage Corporate Security / Threat Intelligence,"Governance, Risk and Compliance","Governance, Risk and Compliance / Information Security / Threat Management"
Manage Data Privacy,Manage Data Privacy,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection"
Data Privacy Compliance,Manage Data Privacy / Data Privacy Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection / Privacy Compliance"
Data Privacy Impact Assessment,Manage Data Privacy / Data Privacy Impact Assessment,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection / Privacy Impact Assessment"
Data Subject Rights Management,Manage Data Privacy / Data Subject Rights Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection / Data Subject Rights"
Privacy by Design,Manage Data Privacy / Privacy by Design,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection / Privacy by Design"
Privacy Notice Management,Manage Data Privacy / Privacy Notice Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Data Protection / Privacy Notice Management"
"Manage Enterprise Risk, Compliance, Remediation, and Resiliency","Manage Enterprise Risk, Compliance, Remediation, and Resiliency","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance"
Business Continuity Management,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / Business Continuity Management","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Business Continuity"
Compliance Management,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / Compliance Management","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Compliance Management"
Disaster Recovery,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / Disaster Recovery","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Disaster Recovery"
Enterprise Risk Management,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / Enterprise Risk Management","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Risk Management"
IT Risk Management,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / IT Risk Management","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / IT Risk Management"
Operational Risk Management,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency / Operational Risk Management","Governance, Risk and Compliance","Governance, Risk and Compliance / Enterprise Risk and Compliance / Operational Risk"
Manage Government & Industry Relationships,Manage Government & Industry Relationships,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs"
Government Affairs,Manage Government & Industry Relationships / Government Affairs,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs / Government Affairs"
Industry Association Management,Manage Government & Industry Relationships / Industry Association Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs / Industry Associations"
Lobbying,Manage Government & Industry Relationships / Lobbying,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs / Government Affairs"
Political Action Committee Management,Manage Government & Industry Relationships / Political Action Committee Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs / Government Affairs"
Regulatory Affairs,Manage Government & Industry Relationships / Regulatory Affairs,"Governance, Risk and Compliance","Governance, Risk and Compliance / Regulatory Affairs"
Manage IOPS Legal Matters,Manage IOPS Legal Matters,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Environmental Compliance,Manage IOPS Legal Matters / Environmental Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Environmental Compliance"
Health and Safety Compliance,Manage IOPS Legal Matters / Health and Safety Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Health and Safety"
Manufacturing Compliance,Manage IOPS Legal Matters / Manufacturing Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Manufacturing Compliance"
Regulatory Compliance,Manage IOPS Legal Matters / Regulatory Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Regulatory Compliance"
Manage Labor & Employment,Manage Labor & Employment,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Employment Law Compliance,Manage Labor & Employment / Employment Law Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Employment Law"
Labor Relations,Manage Labor & Employment / Labor Relations,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Labor Relations"
Union Management,Manage Labor & Employment / Union Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Labor Relations"
Workplace Safety,Manage Labor & Employment / Workplace Safety,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Health and Safety"
Manage Law Pharma Operations,Manage Law Pharma Operations,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Clinical Trial Agreements,Manage Law Pharma Operations / Clinical Trial Agreements,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Contract Management"
Healthcare Compliance,Manage Law Pharma Operations / Healthcare Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Healthcare Compliance"
Life Sciences Regulatory Affairs,Manage Law Pharma Operations / Life Sciences Regulatory Affairs,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Regulatory Compliance"
Pharmaceutical Compliance,Manage Law Pharma Operations / Pharmaceutical Compliance,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Regulatory Compliance"
Manage Litigations,Manage Litigations,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management"
Case Management,Manage Litigations / Case Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Matter Management"
Claims Management,Manage Litigations / Claims Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Claims Management"
Dispute Resolution,Manage Litigations / Dispute Resolution,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Dispute Resolution"
eDiscovery and Document Review,Manage Litigations / eDiscovery and Document Review,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / eDiscovery"
Litigation Hold Management,Manage Litigations / Litigation Hold Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Litigation Management"
Outside Counsel Management,Manage Litigations / Outside Counsel Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Legal Management / Outside Counsel"
Manage Records,Manage Records,"Governance, Risk and Compliance","Governance, Risk and Compliance / Records Management"
Electronic Records Management,Manage Records / Electronic Records Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Records Management / Electronic Records"
Physical Records Management,Manage Records / Physical Records Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Records Management / Physical Records"
Records Disposition,Manage Records / Records Disposition,"Governance, Risk and Compliance","Governance, Risk and Compliance / Records Management / Records Disposition"
Records Retention,Manage Records / Records Retention,"Governance, Risk and Compliance","Governance, Risk and Compliance / Records Management / Records Retention"
Payroll,Payroll,Human Resources,Human Resources / Payroll Management
Garnishment Management,Payroll / Garnishment Management,Human Resources,Human Resources / Payroll Management / Garnishment Management
Payroll Processing,Payroll / Payroll Processing,Human Resources,Human Resources / Payroll Management / Payroll Processing
Payroll Reporting,Payroll / Payroll Reporting,Human Resources,Human Resources / Payroll Management / Payroll Reporting
Tax Filing,Payroll / Tax Filing,Human Resources,Human Resources / Payroll Management / Tax Filing
Time and Attendance,Payroll / Time and Attendance,Human Resources,Human Resources / Time and Attendance Management
People Analytics and Reporting,People Analytics and Reporting,Human Resources,Human Resources / Workforce Planning and Analytics
Headcount Reporting,People Analytics and Reporting / Headcount Reporting,Human Resources,Human Resources / Workforce Planning and Analytics / Headcount Reporting
HR Dashboards,People Analytics and Reporting / HR Dashboards,Human Resources,Human Resources / Workforce Planning and Analytics / HR Reporting
HR Metrics,People Analytics and Reporting / HR Metrics,Human Resources,Human Resources / Workforce Planning and Analytics / HR Metrics
Workforce Analytics,People Analytics and Reporting / Workforce Analytics,Human Resources,Human Resources / Workforce Planning and Analytics / Workforce Analytics
Power Management,Power Management,Enterprise Strategy,Enterprise Strategy / IT Architecture Management
Protect Intellectual Property,Protect Intellectual Property,"Governance, Risk and Compliance","Governance, Risk and Compliance / Intellectual Property Management"
IP Licensing,Protect Intellectual Property / IP Licensing,"Governance, Risk and Compliance","Governance, Risk and Compliance / Intellectual Property Management / IP Licensing"
IP Portfolio Management,Protect Intellectual Property / IP Portfolio Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Intellectual Property Management / IP Portfolio"
Patent Management,Protect Intellectual Property / Patent Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Intellectual Property Management / Patent Management"
Trademark Management,Protect Intellectual Property / Trademark Management,"Governance, Risk and Compliance","Governance, Risk and Compliance / Intellectual Property Management / Trademark Management"
Purchasing,Purchasing,Sourcing and Procurement,Sourcing and Procurement / Operational Procurement
Purchase Order Management,Purchasing / Purchase Order Management,Sourcing and Procurement,Sourcing and Procurement / Operational Procurement / Purchase Order Processing
Requisition Management,Purchasing / Requisition Management,Sourcing and Procurement,Sourcing and Procurement / Operational Procurement / Purchase Requisition
Real Estate & Facilities Management,Real Estate & Facilities Management,Asset Management,Asset Management / Asset Lifecycle Delivery
Building Maintenance,Real Estate & Facilities Management / Building Maintenance,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Maintenance
Construction Management,Real Estate & Facilities Management / Construction Management,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Construction
Facilities Operations,Real Estate & Facilities Management / Facilities Operations,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Operation
Lease Administration,Real Estate & Facilities Management / Lease Administration,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Acquisition
Real Estate Acquisition,Real Estate & Facilities Management / Real Estate Acquisition,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Acquisition
Real Estate Disposition,Real Estate & Facilities Management / Real Estate Disposition,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Disposal
Space Planning and Management,Real Estate & Facilities Management / Space Planning and Management,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Planning
Utilities Management,Real Estate & Facilities Management / Utilities Management,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Operation
Workplace Services,Real Estate & Facilities Management / Workplace Services,Asset Management,Asset Management / Asset Lifecycle Delivery / Asset Operation
Sourcing,Sourcing,Sourcing and Procurement,Sourcing and Procurement / Procurement Strategy
Summarize,Summarize,Enterprise Strategy,Enterprise Strategy / Information Management
Talent Acquisition,Talent Acquisition,Human Resources,Human Resources / Talent Acquisition
Candidate Experience,Talent Acquisition / Candidate Experience,Human Resources,Human Resources / Talent Acquisition / Candidate Experience
Campus Recruiting,Talent Acquisition / Campus Recruiting,Human Resources,Human Resources / Talent Acquisition / Recruitment Marketing
