id,type,name,displayName,relApplicationToBusinessCapability,relApplicationToDataObject,relApplicationToITComponent:displayName,relApplicationToITComponent:activeFrom,relApplicationToITComponent:activeUntil,relApplicationToITComponent:costTotalAnnual,relApplicationToITComponent:description,relApplicationToITComponent:obsolescenceRiskComment,relApplicationToITComponent:obsolescenceRiskStatus,relApplicationToITComponent:serviceLevel,relApplicationToITComponent:technicalSuitability,relApplicationToProject,tags:GxP,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Maturity Status,tags:Main Area,tags:PACE,tags:Business Unit,tags:Vendor,tags:LX PS WiP,tags:Region,tags:Other tags,relApplicationToUserGroup,maturityStatus,CMDB_SYS_ID,cmdbBizAppUrl,relToChild,functionalSuitability,technicalSuitability
11a11a0c-4e55-457c-b9fa-e2cf0381b5ea,Application,Additional Risk Minimization Measures,Additional Risk Minimization Measures,Collaborations & Touchpoints / GPS;~Global Patient Safety (GPS) / Surveillance: Signal & Risk Management,,Okta SSO,,,,,,,,,Appian Cloud Migration,,,,,,,,,GPS;RA,,,,,Global Patient Safety;Regulatory,,,,,,
b439e74c-f7e9-43a2-bce4-18139917688c,Application,Adobe Acrobat Sign,Adobe Acrobat Sign,Collaborations & Touchpoints / IOPS (GDS);Foundational Capabilities / IOPS (GDS),,,,,,,,,,,,,,,,,,,,MA;Quality,Adobe,,,,Oncology,,,,,,
f2608e96-ec36-46da-9500-d9d92cf38c0f,Application,Adobe AEM Forms - IOPS,Adobe AEM Forms - IOPS,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
ac888659-9e18-43f7-97ca-02b9235ff97c,Application,Adobe Sign,Adobe Sign,IOPS Quality Assurance / Change Control;IOPS Quality Assurance / Deviation Management;IOPS Quality Assurance / Document Control,,,,,,,,,,,,Yes,,,,,,IOPS,,,,,Global,,,,https://regeneron.service-now.com/now/nav/ui/classic/params/target/%2Fcmdb_ci_business_app.do%3Fsys_id%3D4ce4f173871535141db8ca2acebb3594%26sysparm_view%3Dbusiness_applications%26sysparm_record_target%3Dcmdb_ci_business_app%26sysparm_record_row%3D5%26sysparm_record_rows%3D6%26sysparm_record_list%3DnameSTARTSWITHadobe%5EORDERBYshort_description,,,,
979192d6-4397-4de4-9b96-426eac045b16,Application,AdobeConnect,AdobeConnect,~Development Operations & Portfolio Management (DO & PM) / Shared Services / Training,,,,,,,,,,,,,,,,,,,,DO&PM,Adobe,,,,Global Development Training,,,,,appropriate,adequate
d5a54f79-72e8-474c-86a9-a212f6052ce1,Application,ADP,ADP,Payroll / Payroll Management,,,,,,,,,,,,,,,,,,"G&A IT - Payroll, Time & Labor",,,,,,Business Owned;G&A IT;SOX,Financial Services / Accounting,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=67d13717db92db44c9dadda5ca961982,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=00e4f173871535141db8ca2acebb3598,,perfect,fullyAppropriate
13ad1b9f-99a4-4156-a4a0-95054e1b4f2d,Application,Aetna,Aetna,Benefits Management,,Aetna Aetna Application Hosting,,,,,,,,,,,,,,,,G&A IT - Human Resources,,,,,,Business Owned;G&A IT,Human Resources / Total Rewards,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=154fbc241b2bb410ba52baeedc4bcbc7,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=40e4f173871535141db8ca2acebb359a,,,
13ad1b9f-99a4-4156-a4a0-95054e1b4f2d,Application,Aetna,Aetna,Benefits Management,,Aetna Aetna SaaS Hosting,,,,,,,,,,,,,,,,G&A IT - Human Resources,,,,,,Business Owned;G&A IT,Human Resources / Total Rewards,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=154fbc241b2bb410ba52baeedc4bcbc7,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=40e4f173871535141db8ca2acebb359a,,,
896c4565-4a6e-42f3-8b6c-595bff83d2ac,Application,Agency Question Tracker (AQT),Agency Question Tracker (AQT),IOPS Product Development / Regulatory Submission,,,,,,,,,,,,,,,,,,IOPS,,,,,,,0717 - CMC Regulatory Sciences,,,,,,
7785a970-8b00-4a2c-8fe9-5f7b7e443d3e,Application,AGIS,AGIS,Accounting / Financial Accounting,,,,,,,,,,,,,,,,,,G&A IT - Financial Services,,,,,,G&A IT,Financial Services,green,,,,,
839f32cb-a060-41ba-8129-ed2a702cb841,Application,AI Assisted Systematic Literature Review,AI Assisted Systematic Literature Review,~Global Medical Affairs (GMA) / Health Economics and Outcomes Research (HEOR),,,,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,
4acfb5c8-4df3-40d3-a4cb-fa92c7d942fd,Application,Alation,Alation,Foundational Capabilities,,Okta SSO,,,,,,,,,,,,,,,,,,DO&PM;RA,,,,,,,,,,,
51407d97-f3e4-4090-af45-48ce2facef34,Application,ALR (Automated Literature Review),ALR (Automated Literature Review),~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking / Study Execution,,Amazon.com / AWS Amazon S3,,,,,,,,,,,,,,,,,,DO&PM;MA,,,,,DO&PM,,,,,,
51407d97-f3e4-4090-af45-48ce2facef34,Application,ALR (Automated Literature Review),ALR (Automated Literature Review),~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking / Study Execution,,Okta SSO,,,,,,,,,,,,,,,,,,DO&PM;MA,,,,,DO&PM,,,,,,
51407d97-f3e4-4090-af45-48ce2facef34,Application,ALR (Automated Literature Review),ALR (Automated Literature Review),~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking / Study Execution,,RDS MySQL,,,,,,,,,,,,,,,,,,DO&PM;MA,,,,,DO&PM,,,,,,
b5003232-8f8b-4ca2-bf03-fa5a2b21b26a,Application,AmberBox,AmberBox,Manage Corporate Security / Incident Management / Identify Incidents;Manage Corporate Security / Incident Management / Investigation Management;Manage Corporate Security / Incident Management / Monitor Incidents,,,,,,,,,,,,,,,,,,Law,,,,,,,,,,,,,
19999dc9-ac18-408d-ada9-536b3dd546a8,Application,Ambient.ai,Ambient.ai,Manage Corporate Security / Incident Management / Identify Incidents;Manage Corporate Security / Incident Management / Investigation Management;Manage Corporate Security / Incident Management / Monitor Incidents,,,,,,,,,,,,,,,,,,Law,,,,,,,Law / Legal Security,,,,Empty,,
73df5e71-afd3-4c3d-bc05-bb6c783593d1,Application,American Dynamics CCTV System,American Dynamics CCTV System,Manage Corporate Security / Physical Security / Location Security,,,,,,,,,,,,,,,,,,Law,,,,,,,Law / Legal Security,green,30fbb1836fdb3a806ea3d4a21c3ee4e6,,Empty,appropriate,fullyAppropriate
4568d1f3-863c-48f1-936c-ad0936abcd77,Application,Anaconda,Anaconda,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
6d35f1e4-1aff-4649-9ce0-29e905ada65f,Application,Anaqua Annuities,Anaqua Annuities,Protect Intellectual Property / Manage Intellectual Property / Branding;Protect Intellectual Property / Manage Intellectual Property / Copyright Management;Protect Intellectual Property / Manage Intellectual Property / Trademark Management;Protect Intellectual Property / Patent Management,,Ping One SSO,,,,,,,,,,,,,,,,Law,,,,,,,Law / Patent Management,green,e11d2dc06f2bf6c06ea3d4a21c3ee45d,,,perfect,fullyAppropriate
188d3be2-8694-4bf1-a109-c45363ea2475,Application,ANSYS-CPD,ANSYS-CPD,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
3fcb5197-6d23-4a5c-81c5-e3b56a233c63,Application,ANSYS-PS,ANSYS-PS,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
58fba8ac-309f-4614-a639-8dea07a9c765,Application,AON,AON,Benefits Management,,AON AON Application Hosting,,,,,,,,,,,,,,,,IOPS,,,,,,G&A IT,Human Resources / Total Rewards,green,,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=d0e4f173871535141db8ca2acebb35a3,,unreasonable,fullyAppropriate
58fba8ac-309f-4614-a639-8dea07a9c765,Application,AON,AON,Benefits Management,,Ping One SSO,,,,,,,,,,,,,,,,IOPS,,,,,,G&A IT,Human Resources / Total Rewards,green,,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=d0e4f173871535141db8ca2acebb35a3,,unreasonable,fullyAppropriate
5343656d-2793-4d39-a239-314f08f19fab,Application,Apigee,Apigee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48a31995-2f1f-4d66-b073-7d23e246f08a,Application,App - Electronic User Account Request,App - Electronic User Account Request,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
cddb0c8d-a3aa-4cb6-ab33-4420ec6b2f6a,Application,ArborXR,ArborXR,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
4e1940ec-2518-43c1-a9c1-19ba8b4f00c1,Application,Argus,Argus,"Collaborations & Touchpoints / GPS;~Global Patient Safety (GPS) / Case Evaluation and Reporting / Case Management / Global Safety Database;~Global Patient Safety (GPS) / Safety Planning, Compliance, Quality, and QPPV / GPS System Administration;~Global Patient Safety (GPS) / Safety Planning, Compliance, Quality, and QPPV / Quality and Compliance",,Okta SSO,,,,,,,,,,,,,,,,,,ECD;GPS;MA;Quality;RA,Oracle,,,,Global Patient Safety;Medical Affairs;Quality;Regulatory,,,,,appropriate,adequate
4e1940ec-2518-43c1-a9c1-19ba8b4f00c1,Application,Argus,Argus,"Collaborations & Touchpoints / GPS;~Global Patient Safety (GPS) / Case Evaluation and Reporting / Case Management / Global Safety Database;~Global Patient Safety (GPS) / Safety Planning, Compliance, Quality, and QPPV / GPS System Administration;~Global Patient Safety (GPS) / Safety Planning, Compliance, Quality, and QPPV / Quality and Compliance",,Oracle Argus,,,,,,,,,,,,,,,,,,ECD;GPS;MA;Quality;RA,Oracle,,,,Global Patient Safety;Medical Affairs;Quality;Regulatory,,,,,appropriate,adequate
7907b51a-8c95-4a87-9b12-df490f3a20ad,Application,Aristotle 360,Aristotle 360,Manage Government & Industry Relationships / Manage Government Relations / Government Affairs,,,,,,,,,,,,,,,,,,Law,,,,,,,,,,,Empty,,
4f515fbd-ed80-4f45-86e4-9944c999bf58,Application,Aroma,Aroma,~Global Medical Affairs (GMA) / Health Economics and Outcomes Research (HEOR),,Okta SSO,,,,,,,,,,,,,,,,,,MA,,,,,Medical Affairs;Strategic Planning,,,,,,
d8f17815-3232-44ee-8693-0533dd27cb5e,Application,Array Studio,Array Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04cde3dd-f9d1-44d9-82f7-7dd3dd2b16bd,Application,Articulate,Articulate,IOPS Quality Assurance / Technical Training (Learning Management),,Articulate Global Articulate SaaS Hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad4425bd-28d6-45a6-925e-0250b55887cd,Application,ArtiosCAD Design,ArtiosCAD Design,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
ea46b32c-8ed9-440c-965e-e4ac9cf27990,Application,ASAP (Antibody Sequence Analysis Program),ASAP (Antibody Sequence Analysis Program),,,,,,,,,,,,,,,R&pD Owned,,,,R&pD IT,,,,,,,,,,,,,
71e61122-8f0c-4538-92e3-836892b1f4b1,Application,ASIST,ASIST,~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking;~Development Operations & Portfolio Management (DO & PM) / Study Execution and Tracking / Clinical Drug Supply Management,,TE Excursion Bot,,,,,,,,,,,,,,,,,,DO&PM,,,,,Clinical Drug Supply and Logistics,,,,,appropriate,adequate
8c712b38-e824-4bf1-95b3-546046d8b577,Application,Assay Provider Database (Excel),Assay Provider Database (Excel),~Early Clinical Development (ECD) / Precision Medicine / Assay Management / Assay Information Management,,,,,,,,,,,,,,,,,,,,ECD,,,,,ECD,,,,,appropriate,adequate
b869e72b-bfae-442c-9aaa-aa28c66561fe,Application,Asset Center,Asset Center,IOPS Product Development / Device Specification Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9a76ac-a7c5-437d-a56d-fc28346eac7b,Application,ASTRA,ASTRA,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
ccd621d2-e8c9-4003-b191-8b4f2613c0bc,Application,ASTRA 8 PROD Raheen,ASTRA 8 PROD Raheen,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
58b1093a-6a0b-4ba5-a3e2-e215f12e067b,Application,Atlassian Confluence,Atlassian Confluence,IOPS Enterprise Support / Collaboration,,Atlassian Atlassian Confluence SaaS Hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e642f4f6-1f0b-4d24-8e10-4eeacd2eb7e3,Application,Audit Board,Audit Board,Consolidations and External Reporting / Corporate Governance,,Ping One SSO,,,,,,,,,,,,,,,,G&A IT - Audit,,,,,,Business Owned;G&A IT,Financial Services / Internal Audit;Financial Services / Treasury,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=831e21b1db8190149be32ad94b9619ca,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=89e47573871535141db8ca2acebb359f,,,
fb81fcba-0211-48b8-8cc6-2a9b479e252f,Application,Augmentir,Augmentir,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,IOPS - RAH Augmentir Expansion,Yes,,,,,,IOPS,,,,,,,,,,,,,
539676cf-12fd-4ecd-b874-ccd128ff3dff,Application,AutoDesk Vault (RHN),AutoDesk Vault (RHN),IOPS Plant Management / Drawing Management,,,,,,,,,,,,,,,,,,IOPS,,,,,IE,,,,,,,,
89bc4eca-a7a6-4289-ae50-7c718bc230fc,Application,Automated Audit Workpapers and Tracking System (TeamMate),Automated Audit Workpapers and Tracking System (TeamMate),Consolidations and External Reporting / Corporate Governance,,,,,,,,,,,,,,,,,,G&A IT - Audit,,,,,,Business Owned;G&A IT,Financial Services / Internal Audit,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=f2e1b357db92db44c9dadda5ca9619b4,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=9553319f134d73c05a075ecf3244b04b,,perfect,unreasonable
9618925d-994d-4522-8bfe-0a1ccfc6962b,Application,Automation Administration,Automation Administration,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
b0cd1b23-78d6-4382-8f92-1eb7cccca117,Application,Automation Jumpbox,Automation Jumpbox,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
ab8866a2-335b-4f02-b5d8-2819056c8967,Application,Automation_Processes Contols,Automation_Processes Contols,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
7bad9ba7-b3a6-4d21-9523-dfd64f1f48ee,Application,Avature,Avature,Talent Acquisition / Recruiting,,Avature Application Hosting,,,,,,,,,Career Site Replacement,,,,,,,G&A IT - Human Resources,,,,,,G&A IT,Human Resources / Talent Acquisition,yellow,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=46bea6b16f177e006ea3d4a21c3ee4ad,,,insufficient,adequate
7bad9ba7-b3a6-4d21-9523-dfd64f1f48ee,Application,Avature,Avature,Talent Acquisition / Recruiting,,Okta SSO,,,,,,,,,Career Site Replacement,,,,,,,G&A IT - Human Resources,,,,,,G&A IT,Human Resources / Talent Acquisition,yellow,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=46bea6b16f177e006ea3d4a21c3ee4ad,,,insufficient,adequate
303bd8c0-f6e1-4e2f-83b9-d09be8c2e254,Application,AVEVA PI Process Historian - PA16,AVEVA PI Process Historian - PA16,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
b45a29be-89ce-4725-9817-33637d654816,Application,Axway,Axway,Foundational Capabilities / External Data Transfer;~Global Patient Safety (GPS) / Case Evaluation and Reporting / Case Management / Safety E2B Interchange,,Axway B2Bi,,,,,,,,,,,,,,,,,,GPS;Quality;RA,Axway,,,,BDM;Enterprise;Regulatory,,,,,appropriate,adequate
b45a29be-89ce-4725-9817-33637d654816,Application,Axway,Axway,Foundational Capabilities / External Data Transfer;~Global Patient Safety (GPS) / Case Evaluation and Reporting / Case Management / Safety E2B Interchange,,Okta SSO,,,,,,,,,,,,,,,,,,GPS;Quality;RA,Axway,,,,BDM;Enterprise;Regulatory,,,,,appropriate,adequate
d3711a9e-e088-470d-8838-5a469d966e71,Application,Azenta FreezerPro Raheen,Azenta FreezerPro Raheen,,,,,,,,,,,,,,,,,,,IOPS,,,,,IE,,,,,,,,
aa4247c4-ff5d-41b8-9492-dff54c54e4cd,Application,B17 - Fill Finish Enviromental Monitoring,B17 - Fill Finish Enviromental Monitoring,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
0a72e57c-ad45-49a1-958b-f5904c488e55,Application,B17 - PACKAGING LINE 02 SYSTEM,B17 - PACKAGING LINE 02 SYSTEM,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
c8c76228-14d9-48ad-b5ad-fef3abfe3458,Application,Bank of America (CashPro),Bank of America (CashPro),"Treasury Management / Accounts Payable and Expense Reimbursement / Process accounts payable (AP);Treasury Management / Internal Controls / Compliance Reporting;Treasury Management / Internal Controls / Establish internal controls, policies, and procedures;Treasury Management / Internal Controls / Operate controls and monitor compliance;Treasury Management / Planning and Management Accounting / Manage transactions;Treasury Management / Revenue Accounting / Process accounts receivable (AR);Treasury Management / Treasury Operations / Manage cash;Treasury Management / Treasury Operations / Manage financial fraud/dispute cases;Treasury Management / Treasury Operations / Manage in-house bank accounts;Treasury Management / Treasury Operations / Manage treasury policies and procedures;Treasury Management / Treasury Operations / Monitor and execute risk and hedging transactions",,,,,,,,,,,,,,,,,,G&A IT - Financial Services,,,,,,Business Owned;G&A IT,Financial Services / Treasury;Financial Services / Treasury / Treasury OPS,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=35f99e1487e06518ed31bbff8bbb3542,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=29e4b573871535141db8ca2acebb3585,,,
0e82919d-3f23-4865-a300-6544deb55511,Application,Bank of Ireland,Bank of Ireland,Treasury Management,,,,,,,,,,,,,,,,,,G&A IT - Financial Services,,,,,,Business Owned;G&A IT,Financial Services / Treasury,green,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=af1c1a9087246518ed31bbff8bbb356e,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=29e4b573871535141db8ca2acebb3586,,,
044c0f14-0014-460e-85dc-66cc10f9f07d,Application,BarTender Barcode and Label,BarTender Barcode and Label,,,,,,,,,,,,,,,,,,,IOPS,,,,,,,,,,,,,
8cca11b9-552c-4fd0-a84b-7bc5f0594172,Application,Beamery Talent CRM,Beamery Talent CRM,Talent Acquisition;Talent Acquisition / Recruiting,Candidate,Beamery Beamery SaaS Hosting,,,,,,,,,Career Site Replacement,,,,,,,G&A IT - Human Resources,,,,,,G&A IT,Human Resources / Talent Acquisition,white,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=82fecdbe87e265546a4e0e98cebb35a0,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=61e4b573871535141db8ca2acebb358a,,,
8cca11b9-552c-4fd0-a84b-7bc5f0594172,Application,Beamery Talent CRM,Beamery Talent CRM,Talent Acquisition;Talent Acquisition / Recruiting,Candidate,Beamery Chrome Extension,,,,,,,,,Career Site Replacement,,,,,,,G&A IT - Human Resources,,,,,,G&A IT,Human Resources / Talent Acquisition,white,https://regeneron.service-now.com/nav_to.do?uri=cmdb_ci_service_auto.do?sys_id=82fecdbe87e265546a4e0e98cebb35a0,https://regeneron.service-now.com/cmdb_ci_business_app.do?sys_id=61e4b573871535141db8ca2acebb358a,,,
